,day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost,estimatedRevenue,estimatedAdRevenue,grossRevenue,estimatedRedPartnerRevenue,monetizedPlaybacks,playbackBasedCpm,adImpressions,cpm
18,2020-01-19,14,1,0,0,0,0,0,0,51,0,220,15.039999999999997,0,0,6,6,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
19,2020-01-20,25,2,0,1,0,0,0,0,51,31,124,8.97,0,0,22,22,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
20,2020-01-21,18,0,0,1,0,0,0,0,46,0,155,10.91,0,0,12,12,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
21,2020-01-22,34,0,0,5,0,0,0,0,57,0,101,7.2700000000000005,0,0,22,22,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
22,2020-01-23,8,0,0,0,0,1,0,0,10,0,78,5.79,0,0,6,6,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
23,2020-01-24,7,0,0,0,0,1,0,0,7,0,64,5.33,0,0,3,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
24,2020-01-25,15,0,0,0,0,1,0,0,77,0,311,21.75,0,0,13,13,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
25,2020-01-26,11,0,0,0,0,0,0,0,12,0,66,5.06,0,0,4,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
26,2020-01-27,14,1,0,0,0,0,0,0,9,0,39,2.9,0,0,6,6,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
27,2020-01-28,27,1,0,0,0,0,0,0,26,0,59,4.61,0,0,20,20,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
28,2020-01-29,10,0,0,0,0,0,0,0,18,0,110,8.02,0,0,7,7,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
29,2020-01-30,19,1,0,0,0,0,0,0,83,2,262,20.54,0,0,11,11,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
30,2020-01-31,12,1,0,0,0,0,0,0,58,0,290,23.34,0,0,6,6,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
31,2020-02-01,17,2,0,1,0,0,0,0,59,8,208,14.610000000000001,0,0,11,11,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
32,2020-02-02,17,3,0,0,0,0,0,0,26,8,94,6.29,0,0,9,9,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
33,2020-02-03,10,4,0,0,0,0,0,0,15,0,92,6.63,0,0,7,7,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
34,2020-02-04,13,2,0,0,0,0,0,0,21,3,100,6.570000000000001,0,0,6,6,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
35,2020-02-05,23,0,0,0,0,0,0,0,60,0,157,10.57,0,0,13,13,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
36,2020-02-06,29,2,0,0,0,1,1,0,29,10,60,4.71,0,0,21,21,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
37,2020-02-07,21,1,0,1,0,1,0,1,23,0,68,5.14,0,0,14,14,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
38,2020-02-08,12,0,0,1,0,0,0,1,17,0,88,6.559999999999999,0,0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
